region_id,prov_id,mun_city_id,barangay_id,psgc_id,location_desc,correspondence_code,geographic_level,old_names,city_class,income_classification,urban_rural
16.0,0.0,0.0,0.0,1600000000.0,Region XIII (Caraga),160000000.0,Reg,,,,
16.0,2.0,0.0,0.0,1600200000.0,Agusan del Norte,160200000.0,Prov,,,3rd,
16.0,2.0,1.0,0.0,1600201000.0,Buenavista,160201000.0,Mun,,,1st,
16.0,2.0,1.0,1.0,1600201001.0,Abilan,160201001.0,Bgy,,,,R
16.0,2.0,1.0,2.0,1600201002.0,Agong-ong,160201002.0,Bgy,,,,R
16.0,2.0,1.0,3.0,1600201003.0,Alubijid,160201003.0,Bgy,,,,R
16.0,2.0,1.0,4.0,1600201004.0,Guinabsan,160201004.0,Bgy,,,,R
16.0,2.0,1.0,7.0,1600201007.0,Macalang,160201007.0,Bgy,,,,R
16.0,2.0,1.0,8.0,1600201008.0,Malapong,160201008.0,Bgy,,,,R
16.0,2.0,1.0,9.0,1600201009.0,Malpoc,160201009.0,Bgy,,,,R
16.0,2.0,1.0,10.0,1600201010.0,Manapa,160201010.0,Bgy,,,,U
16.0,2.0,1.0,11.0,1600201011.0,Matabao,160201011.0,Bgy,,,,U
16.0,2.0,1.0,13.0,1600201013.0,Poblacion 1,160201013.0,Bgy,,,,R
16.0,2.0,1.0,14.0,1600201014.0,Poblacion 2,160201014.0,Bgy,,,,U
16.0,2.0,1.0,15.0,1600201015.0,Poblacion 3,160201015.0,Bgy,,,,U
16.0,2.0,1.0,16.0,1600201016.0,Poblacion 4,160201016.0,Bgy,,,,R
16.0,2.0,1.0,17.0,1600201017.0,Poblacion 5,160201017.0,Bgy,,,,R
16.0,2.0,1.0,18.0,1600201018.0,Poblacion 6,160201018.0,Bgy,,,,R
16.0,2.0,1.0,19.0,1600201019.0,Poblacion 7,160201019.0,Bgy,,,,R
16.0,2.0,1.0,20.0,1600201020.0,Poblacion 8,160201020.0,Bgy,,,,R
16.0,2.0,1.0,21.0,1600201021.0,Poblacion 9,160201021.0,Bgy,,,,R
16.0,2.0,1.0,22.0,1600201022.0,Poblacion 10,160201022.0,Bgy,,,,R
16.0,2.0,1.0,23.0,1600201023.0,Rizal,160201023.0,Bgy,,,,R
16.0,2.0,1.0,24.0,1600201024.0,Sacol,160201024.0,Bgy,,,,R
16.0,2.0,1.0,25.0,1600201025.0,Sangay,160201025.0,Bgy,,,,R
16.0,2.0,1.0,26.0,1600201026.0,Talo-ao,160201026.0,Bgy,,,,R
16.0,2.0,1.0,27.0,1600201027.0,Lower Olave,160201027.0,Bgy,,,,R
